OID,info.json url
10540925,https://collections.library.yale.edu/iiif/2/10540925/info.json
10540926,https://collections.library.yale.edu/iiif/2/10540926/info.json
10540927,https://collections.library.yale.edu/iiif/2/10540927/info.json
10540928,https://collections.library.yale.edu/iiif/2/10540928/info.json
10540929,https://collections.library.yale.edu/iiif/2/10540929/info.json
10540930,https://collections.library.yale.edu/iiif/2/10540930/info.json
10540931,https://collections.library.yale.edu/iiif/2/10540931/info.json
10540932,https://collections.library.yale.edu/iiif/2/10540932/info.json
10540933,https://collections.library.yale.edu/iiif/2/10540933/info.json
10540934,https://collections.library.yale.edu/iiif/2/10540934/info.json
10540935,https://collections.library.yale.edu/iiif/2/10540935/info.json
10540936,https://collections.library.yale.edu/iiif/2/10540936/info.json
10540937,https://collections.library.yale.edu/iiif/2/10540937/info.json
10540938,https://collections.library.yale.edu/iiif/2/10540938/info.json
10540939,https://collections.library.yale.edu/iiif/2/10540939/info.json
10540940,https://collections.library.yale.edu/iiif/2/10540940/info.json
10540941,https://collections.library.yale.edu/iiif/2/10540941/info.json
10540942,https://collections.library.yale.edu/iiif/2/10540942/info.json
10540943,https://collections.library.yale.edu/iiif/2/10540943/info.json
10540944,https://collections.library.yale.edu/iiif/2/10540944/info.json
10540945,https://collections.library.yale.edu/iiif/2/10540945/info.json
10540946,https://collections.library.yale.edu/iiif/2/10540946/info.json
10540947,https://collections.library.yale.edu/iiif/2/10540947/info.json
10540948,https://collections.library.yale.edu/iiif/2/10540948/info.json
10540949,https://collections.library.yale.edu/iiif/2/10540949/info.json
10540950,https://collections.library.yale.edu/iiif/2/10540950/info.json
10540951,https://collections.library.yale.edu/iiif/2/10540951/info.json
10540952,https://collections.library.yale.edu/iiif/2/10540952/info.json
10540953,https://collections.library.yale.edu/iiif/2/10540953/info.json
10540954,https://collections.library.yale.edu/iiif/2/10540954/info.json
10540955,https://collections.library.yale.edu/iiif/2/10540955/info.json
10540956,https://collections.library.yale.edu/iiif/2/10540956/info.json
10540957,https://collections.library.yale.edu/iiif/2/10540957/info.json
10540958,https://collections.library.yale.edu/iiif/2/10540958/info.json
10540959,https://collections.library.yale.edu/iiif/2/10540959/info.json
10540960,https://collections.library.yale.edu/iiif/2/10540960/info.json
10540961,https://collections.library.yale.edu/iiif/2/10540961/info.json
10540962,https://collections.library.yale.edu/iiif/2/10540962/info.json
10540963,https://collections.library.yale.edu/iiif/2/10540963/info.json
10540964,https://collections.library.yale.edu/iiif/2/10540964/info.json
10540965,https://collections.library.yale.edu/iiif/2/10540965/info.json
10540966,https://collections.library.yale.edu/iiif/2/10540966/info.json
10540967,https://collections.library.yale.edu/iiif/2/10540967/info.json
10540968,https://collections.library.yale.edu/iiif/2/10540968/info.json
1346887,https://collections.library.yale.edu/iiif/2/1346887/info.json
1346888,https://collections.library.yale.edu/iiif/2/1346888/info.json
1346889,https://collections.library.yale.edu/iiif/2/1346889/info.json
1346890,https://collections.library.yale.edu/iiif/2/1346890/info.json
1346891,https://collections.library.yale.edu/iiif/2/1346891/info.json
1346892,https://collections.library.yale.edu/iiif/2/1346892/info.json
1346893,https://collections.library.yale.edu/iiif/2/1346893/info.json
1346894,https://collections.library.yale.edu/iiif/2/1346894/info.json
1346895,https://collections.library.yale.edu/iiif/2/1346895/info.json
1346896,https://collections.library.yale.edu/iiif/2/1346896/info.json
1346897,https://collections.library.yale.edu/iiif/2/1346897/info.json
1346898,https://collections.library.yale.edu/iiif/2/1346898/info.json
1346899,https://collections.library.yale.edu/iiif/2/1346899/info.json
1346900,https://collections.library.yale.edu/iiif/2/1346900/info.json
1346901,https://collections.library.yale.edu/iiif/2/1346901/info.json
1346902,https://collections.library.yale.edu/iiif/2/1346902/info.json
1346903,https://collections.library.yale.edu/iiif/2/1346903/info.json
1346904,https://collections.library.yale.edu/iiif/2/1346904/info.json
1346905,https://collections.library.yale.edu/iiif/2/1346905/info.json
1346906,https://collections.library.yale.edu/iiif/2/1346906/info.json
1346907,https://collections.library.yale.edu/iiif/2/1346907/info.json
1346908,https://collections.library.yale.edu/iiif/2/1346908/info.json
1346909,https://collections.library.yale.edu/iiif/2/1346909/info.json
1346910,https://collections.library.yale.edu/iiif/2/1346910/info.json
1346911,https://collections.library.yale.edu/iiif/2/1346911/info.json
1346912,https://collections.library.yale.edu/iiif/2/1346912/info.json
1346913,https://collections.library.yale.edu/iiif/2/1346913/info.json
1346914,https://collections.library.yale.edu/iiif/2/1346914/info.json
1346915,https://collections.library.yale.edu/iiif/2/1346915/info.json
1346916,https://collections.library.yale.edu/iiif/2/1346916/info.json
1346917,https://collections.library.yale.edu/iiif/2/1346917/info.json
1346918,https://collections.library.yale.edu/iiif/2/1346918/info.json
1346919,https://collections.library.yale.edu/iiif/2/1346919/info.json
1346920,https://collections.library.yale.edu/iiif/2/1346920/info.json
1346921,https://collections.library.yale.edu/iiif/2/1346921/info.json
1346922,https://collections.library.yale.edu/iiif/2/1346922/info.json
1346923,https://collections.library.yale.edu/iiif/2/1346923/info.json
1346924,https://collections.library.yale.edu/iiif/2/1346924/info.json
1346925,https://collections.library.yale.edu/iiif/2/1346925/info.json
1346926,https://collections.library.yale.edu/iiif/2/1346926/info.json
1346927,https://collections.library.yale.edu/iiif/2/1346927/info.json
1346928,https://collections.library.yale.edu/iiif/2/1346928/info.json
1346929,https://collections.library.yale.edu/iiif/2/1346929/info.json
1346930,https://collections.library.yale.edu/iiif/2/1346930/info.json
1346931,https://collections.library.yale.edu/iiif/2/1346931/info.json
1346932,https://collections.library.yale.edu/iiif/2/1346932/info.json
1346933,https://collections.library.yale.edu/iiif/2/1346933/info.json
1346934,https://collections.library.yale.edu/iiif/2/1346934/info.json
1346935,https://collections.library.yale.edu/iiif/2/1346935/info.json
1346936,https://collections.library.yale.edu/iiif/2/1346936/info.json
1346937,https://collections.library.yale.edu/iiif/2/1346937/info.json
1346938,https://collections.library.yale.edu/iiif/2/1346938/info.json
1346939,https://collections.library.yale.edu/iiif/2/1346939/info.json
1346940,https://collections.library.yale.edu/iiif/2/1346940/info.json
1346941,https://collections.library.yale.edu/iiif/2/1346941/info.json
1346942,https://collections.library.yale.edu/iiif/2/1346942/info.json
1346943,https://collections.library.yale.edu/iiif/2/1346943/info.json
1346944,https://collections.library.yale.edu/iiif/2/1346944/info.json
1346945,https://collections.library.yale.edu/iiif/2/1346945/info.json
1346946,https://collections.library.yale.edu/iiif/2/1346946/info.json
1346947,https://collections.library.yale.edu/iiif/2/1346947/info.json
1346948,https://collections.library.yale.edu/iiif/2/1346948/info.json
1346949,https://collections.library.yale.edu/iiif/2/1346949/info.json
1346950,https://collections.library.yale.edu/iiif/2/1346950/info.json
1346951,https://collections.library.yale.edu/iiif/2/1346951/info.json
1346952,https://collections.library.yale.edu/iiif/2/1346952/info.json
1346953,https://collections.library.yale.edu/iiif/2/1346953/info.json
1346954,https://collections.library.yale.edu/iiif/2/1346954/info.json
1346955,https://collections.library.yale.edu/iiif/2/1346955/info.json
1346956,https://collections.library.yale.edu/iiif/2/1346956/info.json
1346957,https://collections.library.yale.edu/iiif/2/1346957/info.json
1346958,https://collections.library.yale.edu/iiif/2/1346958/info.json
10540969,https://collections.library.yale.edu/iiif/2/10540969/info.json
10540970,https://collections.library.yale.edu/iiif/2/10540970/info.json
10540971,https://collections.library.yale.edu/iiif/2/10540971/info.json
10540972,https://collections.library.yale.edu/iiif/2/10540972/info.json
10540973,https://collections.library.yale.edu/iiif/2/10540973/info.json
10540974,https://collections.library.yale.edu/iiif/2/10540974/info.json
10540975,https://collections.library.yale.edu/iiif/2/10540975/info.json
10540976,https://collections.library.yale.edu/iiif/2/10540976/info.json
10540977,https://collections.library.yale.edu/iiif/2/10540977/info.json
10540978,https://collections.library.yale.edu/iiif/2/10540978/info.json
10540979,https://collections.library.yale.edu/iiif/2/10540979/info.json
10540980,https://collections.library.yale.edu/iiif/2/10540980/info.json
10540981,https://collections.library.yale.edu/iiif/2/10540981/info.json
10540982,https://collections.library.yale.edu/iiif/2/10540982/info.json
10540983,https://collections.library.yale.edu/iiif/2/10540983/info.json
10540984,https://collections.library.yale.edu/iiif/2/10540984/info.json
10540985,https://collections.library.yale.edu/iiif/2/10540985/info.json
10540986,https://collections.library.yale.edu/iiif/2/10540986/info.json
10540987,https://collections.library.yale.edu/iiif/2/10540987/info.json
10540988,https://collections.library.yale.edu/iiif/2/10540988/info.json
10540989,https://collections.library.yale.edu/iiif/2/10540989/info.json
10540990,https://collections.library.yale.edu/iiif/2/10540990/info.json
10540991,https://collections.library.yale.edu/iiif/2/10540991/info.json
10540992,https://collections.library.yale.edu/iiif/2/10540992/info.json
10540993,https://collections.library.yale.edu/iiif/2/10540993/info.json
10540994,https://collections.library.yale.edu/iiif/2/10540994/info.json
10540995,https://collections.library.yale.edu/iiif/2/10540995/info.json
10540996,https://collections.library.yale.edu/iiif/2/10540996/info.json
10540997,https://collections.library.yale.edu/iiif/2/10540997/info.json
10540998,https://collections.library.yale.edu/iiif/2/10540998/info.json
10540999,https://collections.library.yale.edu/iiif/2/10540999/info.json
10541000,https://collections.library.yale.edu/iiif/2/10541000/info.json
16189150,https://collections.library.yale.edu/iiif/2/16189150/info.json
16189151,https://collections.library.yale.edu/iiif/2/16189151/info.json
1003311,https://collections.library.yale.edu/iiif/2/1003311/info.json
1003312,https://collections.library.yale.edu/iiif/2/1003312/info.json
1003313,https://collections.library.yale.edu/iiif/2/1003313/info.json
15512394,https://collections.library.yale.edu/iiif/2/15512394/info.json
15512395,https://collections.library.yale.edu/iiif/2/15512395/info.json
15512396,https://collections.library.yale.edu/iiif/2/15512396/info.json
15512397,https://collections.library.yale.edu/iiif/2/15512397/info.json
15512398,https://collections.library.yale.edu/iiif/2/15512398/info.json
16565592,https://collections.library.yale.edu/iiif/2/16565592/info.json
16565593,https://collections.library.yale.edu/iiif/2/16565593/info.json
16565594,https://collections.library.yale.edu/iiif/2/16565594/info.json
16565595,https://collections.library.yale.edu/iiif/2/16565595/info.json
